WASO_interval,WASO_importance,R2_correl
0.25,0.03686257769816567,0.28164161046384373
0.5,0.03841625723329125,0.2716544191884656
0.75,0.0347811518978278,0.2579746250916192
1,0.03689478390967288,0.2701552589003903
2,0.0370226863193876,0.28365213974183856
3,0.04137813008362611,0.2896938723129842
4,0.03680106387701418,0.2852557511714585
5,0.034668392807242966,0.2992203315884779
6,0.03196947318645593,0.2727677705470495
7,0.03305713824120223,0.2781634246931758
8,0.033337959556221104,0.2638845804533652
9,0.01918064121722195,0.25174224344512636
10,0.01943983366746947,0.2759970598910923
