WASO_interval,WASO,SW_shifts,r^2
0.25,0.0741987418996894,0.022948973196663034,0.28867573097511945
0.5,0.0666694734634259,0.03214601890176283,0.28151567022432655
0.75,0.06708449163230944,0.02926395798994048,0.2809660852058209
1,0.05863290710948608,0.03425375249437916,0.29174246403851156
2,0.05671235710793149,0.0314868778926269,0.2637473487975618
3,0.05551301600913874,0.031054094751297275,0.2738148720883807
4,0.06749995530552069,0.025042414138568312,0.28267236334102286
5,0.06457848301950238,0.024056649673569717,0.28735151910011136
6,0.06673851817244375,0.019674086136627116,0.2932285335345264
7,0.06617626084123297,0.017963072068696313,0.28725836469944394
8,0.059018512550498545,0.022770927432573383,0.27146060953026613
9,0.05677977099221876,0.022582412476608246,0.27612665496376915
10,0.07349236959157582,0.012475574199587735,0.29057127783608405
