WASO_interval,WASO,SW_shifts,r^2
0.25,0.05254266924097174,0.03516468805126013,0.2834761005111739
0.5,0.055520186133707745,0.03489620562040877,0.282889827282282
0.75,0.05504613517085116,0.030339167035466647,0.28637905981846856
1,0.05536373588928588,0.0318562372249258,0.29348511840273694
2,0.0521933582779234,0.032060959766507746,0.2840907284780216
3,0.054808244969651886,0.02889777963687429,0.2886618370263878
4,0.05632847219502793,0.027106039612559626,0.29573460015645414
5,0.05948445962964374,0.023042329796081715,0.2854110872804007
6,0.05102501390650705,0.027549233022611464,0.2758841067273788
7,0.055177492131602966,0.0249816920631616,0.2930290617306181
8,0.0543089344509562,0.02415741246760818,0.3066812275223075
9,0.05428971877814161,0.02383952567771021,0.2938080761273619
10,0.05297126647703712,0.022067692623315684,0.2699838171790487
