WASO_interval,WASO,SW_shifts,r^2
0.25,0.06805646674617723,0.02829665079662067,0.28609253126765344
0.5,0.05843563132649675,0.036181572925482776,0.2748493424956415
0.75,0.05660324995614512,0.03469771004825767,0.29060951313323297
1,0.06319343741797932,0.03357109985575925,0.29101249860899675
2,0.051428406164903635,0.03719795055615262,0.2713578631346946
3,0.0615208128198404,0.034994663128042634,0.26969180738890747
4,0.0543660410754478,0.035556125158471064,0.26870539351994377
5,0.05272472574772632,0.03611785856831655,0.2843874714393833
6,0.04850062313754622,0.03571325825240124,0.2678563896099698
7,0.04629867510953405,0.03607903415306397,0.28276826663660964
8,0.04752780647726487,0.03640290381665265,0.26964932998043073
9,0.042732432022524774,0.03660425124221693,0.2849614150636671
10,0.03784178140185951,0.03181250467795776,0.29222218457859955
