WASO_interval,WASO,SW_shifts,r^2
0.25,0.05134661494398712,0.03775739769361354,0.2766942024113459
0.5,0.0599157774530692,0.033916197654777935,0.28497841132815993
0.75,0.06007390825261808,0.0341109079247775,0.3022168678599914
1,0.05000467949184396,0.035030205951470744,0.26379319652845057
2,0.05514738027100937,0.03478608156133633,0.28629822771954816
3,0.053792966781078026,0.035357147475062495,0.2807645320167185
4,0.05245119156618599,0.03586901697072813,0.27076432133562406
5,0.050979271077714584,0.034130239854978935,0.28610751319540284
6,0.046039536680336196,0.03553340137523311,0.26572696035358
7,0.04703857573351504,0.03485246397825406,0.2736047517817619
8,0.04789704170630672,0.03529139674892023,0.2732957858705177
9,0.04524274711017052,0.0358369468727667,0.2715772954563097
10,0.042643526708644124,0.03749256423223419,0.26031136958245016
