WASO_interval,WASO,SW_shifts,r^2
0.25,0.05540385892024209,0.03568216434071318,0.2720434426515288
0.5,0.0669371724604778,0.029107251152428536,0.2925745921810787
0.75,0.05488409626641697,0.03529759411857041,0.2727535283088053
1,0.05459418649067674,0.03442416430773254,0.280824578529112
2,0.05896561411304275,0.03227736355938314,0.2841075416751005
3,0.05625890607620964,0.03089834698327504,0.2787442131800941
4,0.05689092351517869,0.02893446803240529,0.27273750135795266
5,0.04938689200066528,0.029519953460327177,0.2666826027895736
6,0.05720670242732244,0.023922864027915068,0.30370658374508075
7,0.04891033183002044,0.024928391111428843,0.270986761167363
8,0.049081784947106,0.016383136831046318,0.2894841672470676
9,0.041815093221246595,0.016576527190323712,0.28906322778374927
10,0.039035865759494706,0.014916620665523104,0.2934680588744341
