WASO_interval,WASO,SW_shifts,r^2
0.25,0.05043911054886754,0.034038564217225654,0.28264549967749936
0.5,0.0548170532412082,0.03242693832828902,0.29120809756032956
0.75,0.0551604800578125,0.03257614486238606,0.29652780289645053
1,0.059437270635769854,0.029831877611556024,0.3006447325843811
2,0.05734793324549537,0.030501438947385325,0.28753251696576876
3,0.05076811686763052,0.03136005214639496,0.28749193983153243
4,0.05423813926546229,0.028520599132427396,0.30697812897412274
5,0.050520909203291366,0.02665961305082463,0.2974565030790064
6,0.049454195911208476,0.025813139934944534,0.28523279927989104
7,0.04685758659952491,0.025795919617987797,0.2853821625178389
8,0.04709119709291376,0.023943869543166327,0.28920092323989743
9,0.045400865194636195,0.022994682405106482,0.29637309782976246
10,0.04364970440761689,0.020405465086767504,0.2931115110573239
